FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
220101;0100;13;;
220101;0200;13;;
220101;0300;15;;
220101;0400;13;;
220101;0500;10;;
220101;0600;13;;
220101;0700;12;;
220101;0800;19;;
220101;0900;11;;
220101;1000;12;;
220101;1100;10;;
220101;1200;12;;
220101;1300;13;;
220101;1400;10;;
220101;1500;14;;
220101;1600;8;;
220101;1700;10;;
220101;1800;7;;
220101;1900;6;;
220101;2000;8;;
220101;2100;7;;
220101;2200;5;;
220101;2300;2;;
220102;0000;4;;
220102;0100;5;;
220102;0200;6;;
220102;0300;4;;
220102;0400;10;;
220102;0500;6;;
220102;0600;6;;
220102;0700;4;;
220102;0800;9;;
220102;0900;6;;
220102;1000;9;;
220102;1100;16;;
220102;1200;12;;
220102;1300;13;;
220102;1400;17;;
220102;1500;4;;
220102;1600;3;;
220102;1700;3;;
220102;1800;8;;
220102;1900;6;;
220102;2000;3;;
220102;2100;2;;
220102;2200;3;;
220102;2300;3;;
220103;0000;3;;
220103;0100;1;;
220103;0200;4;;
220103;0300;6;;
220103;0400;5;;
220103;0500;4;;
220103;0600;6;;
220103;0700;8;;
220103;0800;14;;
220103;0900;14;;
220103;1000;15;;
220103;1100;19;;
220103;1200;9;;
220103;1300;11;;
220103;1400;7;;
220103;1500;8;;
220103;1600;8;;
220103;1700;6;;
220103;1800;9;;
220103;1900;6;;
220103;2000;2;;
220103;2100;3;;
220103;2200;4;;
220103;2300;5;;
220104;0000;1;;
220104;0100;1;;
220104;0200;4;;
220104;0300;1;;
220104;0400;4;;
220104;0500;5;;
220104;0600;2;;
220104;0700;7;;
220104;0800;9;;
220104;0900;9;;
220104;1000;10;;
220104;1100;14;;
220104;1200;18;;
220104;1300;16;;
220104;1400;15;;
220104;1500;11;;
220104;1600;8;;
220104;1700;10;;
220104;1800;12;;
220104;1900;6;;
220104;2000;2;;
220104;2100;4;;
220104;2200;8;;
220104;2300;6;;
220105;0000;7;;
220105;0100;5;;
220105;0200;6;;
220105;0300;6;;
220105;0400;5;;
220105;0500;13;;
220105;0600;8;;
220105;0700;11;;
220105;0800;11;;
220105;0900;11;;
220105;1000;20;;
220105;1100;14;;
220105;1200;19;;
220105;1300;24;;
220105;1400;25;;
220105;1500;16;;
220105;1600;24;;
220105;1700;22;;
220105;1800;23;;
220105;1900;19;;
220105;2000;11;;
220105;2100;15;;
220105;2200;13;;
220105;2300;11;;
220106;0000;7;;
220106;0100;7;;
220106;0200;11;;
220106;0300;8;;
220106;0400;7;;
220106;0500;7;;
220106;0600;8;;
220106;0700;14;;
220106;0800;24;;
220106;0900;23;;
220106;1000;30;;
220106;1100;24;;
220106;1200;27;;
220106;1300;23;;
220106;1400;28;;
220106;1500;29;;
220106;1600;19;;
220106;1700;20;;
220106;1800;21;;
220106;1900;13;;
220106;2000;16;;
220106;2100;8;;
220106;2200;11;;
220106;2300;13;;
220107;0000;13;;
220107;0100;12;;
220107;0200;9;;
220107;0300;10;;
220107;0400;10;;
220107;0500;12;;
220107;0600;10;;
220107;0700;28;;
220107;0800;34;;
220107;0900;36;;
220107;1000;32;;
220107;1100;32;;
220107;1200;30;;
