FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220101;0100;9;;;
220101;0200;11;;;
220101;0300;16;;;
220101;0400;12;;;
220101;0500;15;;;
220101;0600;10;;;
220101;0700;14;;;
220101;0800;11;;;
220101;0900;11;;;
220101;1000;11;;;
220101;1100;10;;;
220101;1200;7;;;
220101;1300;6;;;
220101;1400;5;;;
220101;1500;5;;;
220101;1600;8;;;
220101;1700;6;;;
220101;1800;6;;;
220101;1900;4;;;
220101;2000;6;;;
220101;2100;5;;;
220101;2200;7;;;
220101;2300;5;;;
220102;0000;5;;;
220102;0100;4;;;
220102;0200;5;;;
220102;0300;5;;;
220102;0400;7;;;
220102;0500;7;;;
220102;0600;20;;;
220102;0700;10;;;
220102;0800;8;;;
220102;0900;11;;;
220102;1000;9;;;
220102;1100;12;;;
220102;1200;8;;;
220102;1300;7;;;
220102;1400;8;;;
220102;1500;7;;;
220102;1600;5;;;
220102;1700;3;;;
220102;1800;2;;;
220102;1900;2;;;
220102;2000;6;;;
220102;2100;4;;;
220102;2200;4;;;
220102;2300;6;;;
220103;0000;7;;;
220103;0100;8;;;
220103;0200;4;;;
220103;0300;7;;;
220103;0400;13;;;
220103;0500;11;;;
220103;0600;18;;;
220103;0700;17;;;
220103;0800;20;;;
220103;0900;13;;;
220103;1000;33;;;
220103;1100;9;;;
220103;1200;8;;;
220103;1300;9;;;
220103;1400;6;;;
220103;1500;3;;;
220103;1600;4;;;
220103;1700;7;;;
220103;1800;7;;;
220103;1900;6;;;
220103;2000;3;;;
220103;2100;1;;;
220103;2200;5;;;
220103;2300;5;;;
220104;0000;2;;;
220104;0100;4;;;
220104;0200;5;;;
220104;0300;6;;;
220104;0400;7;;;
220104;0500;12;;;
220104;0600;9;;;
220104;0700;11;;;
220104;0800;9;;;
220104;0900;8;;;
220104;1000;8;;;
220104;1100;15;;;
220104;1200;10;;;
220104;1300;8;;;
220104;1400;11;;;
220104;1500;8;;;
220104;1600;7;;;
220104;1700;9;;;
220104;1800;8;;;
220104;1900;8;;;
220104;2000;7;;;
220104;2100;5;;;
220104;2200;4;;;
220104;2300;3;;;
220105;0000;1;;;
220105;0100;2;;;
220105;0200;7;;;
220105;0300;10;;;
220105;0400;9;;;
220105;0500;14;;;
220105;0600;13;;;
220105;0700;11;;;
220105;0800;11;;;
220105;0900;14;;;
220105;1000;10;;;
220105;1100;13;;;
220105;1200;12;;;
220105;1300;11;;;
220105;1400;14;;;
220105;1500;15;;;
220105;1600;11;;;
220105;1700;12;;;
220105;1800;17;;;
220105;1900;13;;;
220105;2000;15;;;
220105;2100;9;;;
220105;2200;13;;;
220105;2300;9;;;
220106;0000;11;;;
220106;0100;17;;;
220106;0200;15;;;
220106;0300;11;;;
220106;0400;9;;;
220106;0500;15;;;
220106;0600;17;;;
220106;0700;19;;;
220106;0800;21;;;
220106;0900;16;;;
220106;1000;16;;;
220106;1100;18;;;
220106;1200;14;;;
220106;1300;20;;;
220106;1400;18;;;
220106;1500;15;;;
220106;1600;15;;;
220106;1700;14;;;
220106;1800;12;;;
220106;1900;11;;;
220106;2000;8;;;
220106;2100;6;;;
220106;2200;8;;;
220106;2300;12;;;
220107;0000;9;;;
220107;0100;10;;;
220107;0200;14;;;
220107;0300;9;;;
220107;0400;14;;;
220107;0500;13;;;
220107;0600;22;;;
220107;0700;21;;;
220107;0800;26;;;
220107;0900;23;;;
220107;1000;16;;;
220107;1100;16;;;
220107;1200;22;;;
220107;1300;19;;;
220107;1400;14;;;
220107;1500;12;;;
220107;1600;10;;;
220107;1700;11;;;
220107;1800;8;;;
220107;1900;12;;;
220107;2000;17;;;
220107;2100;15;;;
220107;2200;10;;;
220107;2300;15;;;
220108;0000;13;;;
220108;0100;15;;;
220108;0200;16;;;
220108;0300;12;;;
220108;0400;14;;;
220108;0500;14;;;
220108;0600;25;;;
220108;0700;19;;;
220108;0800;23;;;
220108;0900;13;;;
220108;1000;19;;;
220108;1100;15;;;
220108;1200;19;;;
220108;1300;18;;;
220108;1400;15;;;
220108;1500;10;;;
220108;1600;14;;;
220108;1700;10;;;
220108;1800;8;;;
220108;1900;13;;;
220108;2000;12;;;
220108;2100;7;;;
220108;2200;6;;;
220108;2300;11;;;
220109;0000;8;;;
220109;0100;5;;;
220109;0200;10;;;
220109;0300;24;;;
220109;0400;7;;;
220109;0500;15;;;
220109;0600;8;;;
220109;0700;8;;;
220109;0800;7;;;
220109;0900;12;;;
220109;1000;10;;;
220109;1100;10;;;
220109;1200;7;;;
220109;1300;9;;;
220109;1400;8;;;
220109;1500;11;;;
220109;1600;8;;;
220109;1700;8;;;
220109;1800;7;;;
220109;1900;7;;;
220109;2000;7;;;
220109;2100;7;;;
220109;2200;6;;;
220109;2300;8;;;
220110;0000;6;;;
220110;0100;4;;;
220110;0200;3;;;
220110;0300;8;;;
220110;0400;8;;;
220110;0500;9;;;
220110;0600;9;;;
220110;0700;21;;;
220110;0800;18;;;
220110;0900;14;;;
220110;1000;13;;;
220110;1100;12;;;
220110;1200;7;;;
220110;1300;7;;;
220110;1400;7;;;
220110;1500;6;;;
220110;1600;10;;;
220110;1700;9;;;
220110;1800;8;;;
220110;1900;10;;;
220110;2000;10;;;
220110;2100;11;;;
220110;2200;8;;;
220110;2300;6;;;
220111;0000;8;;;
220111;0100;8;;;
220111;0200;8;;;
220111;0300;9;;;
220111;0400;6;;;
220111;0500;6;;;
220111;0600;10;;;
220111;0700;19;;;
220111;0800;22;;;
220111;0900;17;;;
220111;1000;16;;;
220111;1100;20;;;
220111;1200;17;;;
220111;1300;11;;;
220111;1400;10;;;
220111;1500;9;;;
220111;1600;8;;;
220111;1700;12;;;
220111;1800;11;;;
220111;1900;11;;;
220111;2000;9;;;
220111;2100;10;;;
220111;2200;10;;;
220111;2300;10;;;
220112;0000;8;;;
220112;0100;6;;;
220112;0200;5;;;
220112;0300;7;;;
220112;0400;8;;;
220112;0500;13;;;
220112;0600;12;;;
220112;0700;17;;;
220112;0800;19;;;
220112;0900;21;;;
220112;1000;13;;;
220112;1100;12;;;
220112;1200;15;;;
220112;1300;14;;;
220112;1400;15;;;
220112;1500;14;;;
220112;1600;13;;;
220112;1700;12;;;
220112;1800;8;;;
220112;1900;7;;;
220112;2000;7;;;
220112;2100;5;;;
220112;2200;4;;;
220112;2300;9;;;
220113;0000;8;;;
220113;0100;7;;;
220113;0200;6;;;
220113;0300;6;;;
220113;0400;10;;;
220113;0500;11;;;
220113;0600;10;;;
220113;0700;6;;;
220113;0800;14;;;
220113;0900;18;;;
220113;1000;16;;;
220113;1100;13;;;
220113;1200;15;;;
220113;1300;12;;;
220113;1400;11;;;
220113;1500;15;;;
220113;1600;11;;;
220113;1700;12;;;
220113;1800;11;;;
220113;1900;9;;;
220113;2000;7;;;
220113;2100;6;;;
220113;2200;7;;;
220113;2300;7;;;
220114;0000;6;;;
220114;0100;3;;;
220114;0200;5;;;
220114;0300;8;;;
220114;0400;8;;;
220114;0500;9;;;
220114;0600;13;;;
220114;0700;18;;;
220114;0800;11;;;
220114;0900;11;;;
220114;1000;19;;;
220114;1100;18;;;
220114;1200;13;;;
220114;1300;16;;;
220114;1400;18;;;
220114;1500;10;;;
220114;1600;12;;;
220114;1700;9;;;
220114;1800;6;;;
220114;1900;5;;;
220114;2000;3;;;
220114;2100;12;;;
220114;2200;9;;;
220114;2300;10;;;
220115;0000;9;;;
220115;0100;11;;;
220115;0200;13;;;
220115;0300;11;;;
220115;0400;8;;;
220115;0500;10;;;
220115;0600;8;;;
220115;0700;12;;;
220115;0800;8;;;
220115;0900;10;;;
220115;1000;9;;;
220115;1100;12;;;
220115;1200;9;;;
220115;1300;7;;;
220115;1400;10;;;
220115;1500;12;;;
220115;1600;12;;;
220115;1700;9;;;
220115;1800;13;;;
220115;1900;15;;;
220115;2000;12;;;
220115;2100;10;;;
220115;2200;11;;;
220115;2300;8;;;
220116;0000;8;;;
220116;0100;8;;;
220116;0200;7;;;
220116;0300;9;;;
220116;0400;7;;;
220116;0500;7;;;
220116;0600;5;;;
220116;0700;12;;;
220116;0800;8;;;
220116;0900;11;;;
220116;1000;11;;;
220116;1100;11;;;
220116;1200;8;;;
220116;1300;11;;;
220116;1400;9;;;
220116;1500;6;;;
220116;1600;3;;;
220116;1700;5;;;
220116;1800;10;;;
220116;1900;5;;;
220116;2000;10;;;
220116;2100;9;;;
220116;2200;7;;;
220116;2300;6;;;
220117;0000;5;;;
220117;0100;3;;;
220117;0200;4;;;
220117;0300;8;;;
220117;0400;4;;;
220117;0500;2;;;
220117;0600;7;;;
220117;0700;8;;;
220117;0800;6;;;
220117;0900;16;;;
220117;1000;9;;;
220117;1100;10;;;
220117;1200;;;;
220117;1300;10;;;
220117;1400;5;;;
220117;1500;2;;;
220117;1600;4;;;
220117;1700;4;;;
220117;1800;1;;;
220117;1900;5;;;
220117;2000;5;;;
220117;2100;1;;;
220117;2200;8;;;
220117;2300;6;;;
220118;0000;4;;;
220118;0100;9;;;
220118;0200;13;;;
220118;0300;10;;;
220118;0400;10;;;
220118;0500;9;;;
220118;0600;7;;;
220118;0700;15;;;
220118;0800;11;;;
220118;0900;15;;;
220118;1000;13;;;
220118;1100;16;;;
220118;1200;10;;;
220118;1300;12;;;
220118;1400;6;;;
220118;1500;5;;;
220118;1600;5;;;
220118;1700;5;;;
220118;1800;6;;;
220118;1900;8;;;
220118;2000;12;;;
220118;2100;7;;;
220118;2200;6;;;
220118;2300;5;;;
220119;0000;4;;;
220119;0100;7;;;
220119;0200;7;;;
220119;0300;6;;;
220119;0400;7;;;
220119;0500;13;;;
220119;0600;11;;;
220119;0700;12;;;
220119;0800;10;;;
220119;0900;10;;;
220119;1000;7;;;
220119;1100;9;;;
220119;1200;16;;;
220119;1300;11;;;
220119;1400;8;;;
220119;1500;7;;;
220119;1600;8;;;
220119;1700;11;;;
220119;1800;13;;;
220119;1900;11;;;
220119;2000;10;;;
220119;2100;9;;;
220119;2200;9;;;
220119;2300;6;;;
220120;0000;8;;;
220120;0100;6;;;
220120;0200;8;;;
220120;0300;12;;;
220120;0400;13;;;
220120;0500;13;;;
220120;0600;13;;;
220120;0700;21;;;
220120;0800;16;;;
220120;0900;14;;;
220120;1000;18;;;
220120;1100;15;;;
220120;1200;12;;;
220120;1300;13;;;
220120;1400;8;;;
220120;1500;9;;;
220120;1600;7;;;
220120;1700;5;;;
220120;1800;5;;;
220120;1900;7;;;
220120;2000;5;;;
220120;2100;3;;;
220120;2200;3;;;
220120;2300;5;;;
220121;0000;3;;;
220121;0100;3;;;
220121;0200;4;;;
220121;0300;6;;;
220121;0400;13;;;
220121;0500;10;;;
220121;0600;15;;;
220121;0700;11;;;
220121;0800;10;;;
220121;0900;9;;;
220121;1000;17;;;
220121;1100;7;;;
220121;1200;12;;;
220121;1300;12;;;
220121;1400;8;;;
220121;1500;9;;;
220121;1600;8;;;
220121;1700;6;;;
220121;1800;8;;;
220121;1900;10;;;
220121;2000;6;;;
220121;2100;4;;;
220121;2200;4;;;
220121;2300;2;;;
220122;0000;2;;;
220122;0100;3;;;
220122;0200;3;;;
220122;0300;3;;;
220122;0400;4;;;
220122;0500;6;;;
220122;0600;12;;;
220122;0700;8;;;
220122;0800;6;;;
220122;0900;9;;;
220122;1000;9;;;
220122;1100;9;;;
220122;1200;7;;;
220122;1300;5;;;
220122;1400;10;;;
220122;1500;6;;;
220122;1600;3;;;
220122;1700;3;;;
220122;1800;5;;;
220122;1900;5;;;
220122;2000;6;;;
220122;2100;10;;;
220122;2200;6;;;
220122;2300;3;;;
220123;0000;4;;;
220123;0100;4;;;
220123;0200;5;;;
220123;0300;5;;;
220123;0400;6;;;
220123;0500;3;;;
