FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220111;1100;17;;;
220111;1200;9;;;
220111;1300;12;;;
220111;1400;9;;;
220111;1500;12;;;
220111;1600;12;;;
220111;1700;12;;;
220111;1800;;;56;
220111;1900;12;;;
220111;2000;14;;;
220111;2100;12;;;
220111;2200;14;;;
220111;2300;11;;;
220112;0000;13;;;
220112;0100;11;;;
220112;0200;10;;;
220112;0300;12;;;
220112;0400;13;;;
220112;0500;10;;;
220112;0600;14;;;
220112;0700;27;;;
220112;0800;13;;;
220112;0900;13;;;
220112;1000;16;;;
220112;1100;19;;;
220112;1200;17;;;
220112;1300;15;;;
220112;1400;16;;;
220112;1500;15;;;
220112;1600;14;;;
220112;1700;11;;;
220112;1800;10;;;
220112;1900;11;;;
220112;2000;14;;;
220112;2100;12;;;
220112;2200;14;;;
220112;2300;11;;;
220113;0000;13;;;
220113;0100;9;;;
220113;0200;9;;;
220113;0300;8;;;
220113;0400;13;;;
220113;0500;10;;;
220113;0600;8;;;
220113;0700;14;;;
220113;0800;19;;;
220113;0900;13;;;
220113;1000;15;;;
220113;1100;18;;;
220113;1200;16;;;
220113;1300;16;;;
220113;1400;15;;;
220113;1500;13;;;
220113;1600;14;;;
220113;1700;11;;;
220113;1800;9;;;
220113;1900;12;;;
220113;2000;10;;;
220113;2100;10;;;
220113;2200;12;;;
220113;2300;10;;;
220114;0000;12;;;
220114;0100;12;;;
220114;0200;10;;;
220114;0300;6;;;
220114;0400;6;;;
220114;0500;9;;;
220114;0600;9;;;
220114;0700;15;;;
220114;0800;10;;;
220114;0900;7;;;
220114;1000;16;;;
220114;1100;10;;;
220114;1200;13;;;
220114;1300;12;;;
220114;1400;17;;;
220114;1500;19;;;
220114;1600;14;;;
220114;1700;11;;;
220114;1800;12;;;
220114;1900;11;;;
220114;2000;12;;;
220114;2100;15;;;
220114;2200;11;;;
220114;2300;12;;;
220115;0000;9;;;
220115;0100;12;;;
220115;0200;9;;;
220115;0300;7;;;
220115;0400;8;;;
220115;0500;7;;;
220115;0600;7;;;
220115;0700;12;;;
220115;0800;11;;;
220115;0900;9;;;
220115;1000;14;;;
220115;1100;11;;;
220115;1200;11;;;
220115;1300;10;;;
220115;1400;10;;;
220115;1500;9;;;
220115;1600;11;;;
220115;1700;14;;;
220115;1800;10;;;
220115;1900;13;;;
220115;2000;15;;;
220115;2100;14;;;
220115;2200;18;;;
220115;2300;10;;;
220116;0000;11;;;
220116;0100;14;;;
220116;0200;11;;;
220116;0300;12;;;
220116;0400;13;;;
220116;0500;14;;;
220116;0600;15;;;
220116;0700;9;;;
220116;0800;11;;;
220116;0900;12;;;
220116;1000;10;;;
220116;1100;9;;;
220116;1200;9;;;
220116;1300;12;;;
220116;1400;11;;;
220116;1500;10;;;
220116;1600;8;;;
220116;1700;9;;;
220116;1800;8;;;
220116;1900;14;;;
220116;2000;13;;;
220116;2100;10;;;
220116;2200;8;;;
220116;2300;5;;;
220117;0000;6;;;
220117;0100;4;;;
220117;0200;4;;;
220117;0300;4;;;
220117;0400;5;;;
220117;0500;7;;;
220117;0600;6;;;
220117;0700;10;;;
220117;0800;8;;;
220117;0900;8;;;
220117;1000;9;;;
220117;1100;7;;;
220117;1200;4;;;
220117;1300;2;;;
220117;1400;2;;;
220117;1500;2;;;
220117;1600;2;;;
220117;1700;4;;;
220117;1800;4;;;
220117;1900;6;;;
220117;2000;8;;;
220117;2100;7;;;
220117;2200;8;;;
220117;2300;9;;;
220118;0000;6;;;
